RESOURCE,Fruit_length,Fruit_diameter,Seed_length,Seed_diameter,CONSUMER,INTSTR
Copaifera lucens,30.69,21.17,21.6,12.49,Ramphastos vitellinus,0.5
Copaifera trapezifolia,31,23,18.3,11.53,Ramphastos vitellinus,0.75
Euterpe edulis,12.8,12.46,11.7,10,Ramphastos vitellinus,1
Inga capitata,70,20,13.6,7.3,Ramphastos vitellinus,0.5
Inga marginata,110,15,11,9,Ramphastos vitellinus,0.5
Inga sessilis,150,45,15,8,Ramphastos vitellinus,0.5
Inga striata,96,34,16.8,3.18,Ramphastos vitellinus,0.5
Marlierea cf.excoriata,9.76,2,9.7,9.85,Ramphastos vitellinus,0.5
Marlierea clausseniana,9.1,8.3,NA,NA,Ramphastos vitellinus,0.5
Marlierea edulis,35,37,23,17,Ramphastos vitellinus,0.5
Marlierea obscura,11,14,9,7,Ramphastos vitellinus,0.5
Marlierea regeliana,22,23,16,12,Ramphastos vitellinus,0.5
Marlierea tomentosa,8.4,8.5,5.94,11.4,Ramphastos vitellinus,0.75
Matayba guianensis,13.3,16.04,11.1,8.26,Ramphastos vitellinus,0.5
Myrcia laxiflora,8,7.6,NA,NA,Ramphastos vitellinus,0.5
Myrcia pubipetala,13.2,11.6,6.58,0.3,Ramphastos vitellinus,1
Myrcia rostrata,6.5,4.5,3,2.5,Ramphastos vitellinus,0.5
Nectandra leucantha,27,15,25,14,Ramphastos vitellinus,0.5
Nectandra membranacea,10,15,8,10,Ramphastos vitellinus,1
Nectandra oppositifolia,15,11,14,10,Ramphastos vitellinus,0.5
Nectandra puberula,12.4,13,11,10.5,Ramphastos vitellinus,0.5
Nectandra reticulata,15,9,14,8,Ramphastos vitellinus,0.5
Neomitranthes obscura,17,18.2,13.3,11.1,Ramphastos vitellinus,0.5
Ocotea daphnifolia,15,15,14,14,Ramphastos vitellinus,0.5
Ocotea diospyrifolia,16.2,1.6,16,10.6,Ramphastos vitellinus,0.5
Ocotea divaricata,9,NA,8,NA,Ramphastos vitellinus,0.5
Ocotea elegans,9,7,8,5,Ramphastos vitellinus,0.5
Ocotea insignis,34.5,20,29,17,Ramphastos vitellinus,0.5
Ocotea lancifolia,15,12.4,12.7,10.6,Ramphastos vitellinus,0.5
Ocotea laxa,8,16,7,13.6,Ramphastos vitellinus,0.5
Ocotea odorifera,21.83,12.98,12,5,Ramphastos vitellinus,0.5
Ocotea silvestris,20,15,15,11,Ramphastos vitellinus,0.5
Ocotea teleiandra,21,17,20,16,Ramphastos vitellinus,0.5
Paullinea carpopoda,9,7,8.3,6.6,Ramphastos vitellinus,1
Protium heptaphyllum,17.26,10.76,9.23,7.5,Ramphastos vitellinus,0.5
Psidium cattleyanum,32.4,31,4,2.5,Ramphastos vitellinus,1
Psidium guajava,59.4,57,4.7,3.5,Ramphastos vitellinus,0.5
Psychotria carthagenensis,5.2,5.5,5,4.3,Ramphastos vitellinus,0.5
Psychotria deflexa,5.09,4.02,3,2.4,Ramphastos vitellinus,0.5
Psychotria leiocarpa,8,9,3,2.4,Ramphastos vitellinus,0.5
Psychotria myriantha,5.4,6.2,4,3,Ramphastos vitellinus,0.5
Psychotria nuda,8.7,7,NA,NA,Ramphastos vitellinus,0.5
Psychotria suterella,11,13,4,3,Ramphastos vitellinus,0.5
Psychotria vellosiana,0.4,3.7,NA,NA,Ramphastos vitellinus,0.5
Quiina glaziovii,20,16,13,9,Ramphastos vitellinus,0.75
Schinus terebinthifolius,6,6,3.5,3.5,Ramphastos vitellinus,1
Symplocos variabilis,5.2,3.87,NA,NA,Ramphastos vitellinus,0.5
Virola bicuhyba,36.8,21,24,16,Ramphastos vitellinus,1
Virola gardneri,34.85,23.34,26,20,Ramphastos vitellinus,0.75
Virola oleifera,35,23,22,12,Ramphastos vitellinus,0.5
Aegiphila obducta,14.4,11.6,NA,NA,Ramphocelus bresilius,0.5
Aegiphila sellowiana,8,4,4,2,Ramphocelus bresilius,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Ramphocelus bresilius,1
Cecropia glaziovii,230,12.62,2,0.62,Ramphocelus bresilius,1
Cecropia hololeuca,230,20.58,2.9,0.98,Ramphocelus bresilius,0.5
Cecropia pachystachya,200,10,2,0.61,Ramphocelus bresilius,0.5
Clusia criuva,13,11,NA,1.8,Ramphocelus bresilius,1
Clusia lanceolata,40,41,6.5,3.1,Ramphocelus bresilius,0.5
Cupania oblongifolia,28.29,11,11.8,9.7,Ramphocelus bresilius,1
Cupania racemosa,23,27,17,9.3,Ramphocelus bresilius,0.5
Eugenia adenantha,12.6,9,NA,NA,Ramphocelus bresilius,0.5
Eugenia brasiliensis,9.58,13.05,7.1,4.45,Ramphocelus bresilius,0.5
Eugenia cerasiflora,16,11,13,8.5,Ramphocelus bresilius,0.5
Eugenia glazioviana,12,11,10,9.5,Ramphocelus bresilius,0.5
Eugenia involucrata,22,15,12,7,Ramphocelus bresilius,0.5
Eugenia itapemirimensis,36.1,26.7,10,8.3,Ramphocelus bresilius,0.5
Eugenia macrantha,35,34.6,8.91,7.76,Ramphocelus bresilius,0.5
Eugenia mandiocensis,32.2,22.3,NA,NA,Ramphocelus bresilius,0.5
Eugenia neoglomerata,20.7,19.13,16.4,14.46,Ramphocelus bresilius,0.5
Eugenia prasina,18.2,9.7,18.9,9.41,Ramphocelus bresilius,0.5
Guarea guidonia,16,12,13,10,Ramphocelus bresilius,1
Miconia brasiliensis,2.6,3,NA,1,Ramphocelus bresilius,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Ramphocelus bresilius,0.5
Miconia chartacea,3.3,4,3.3,3.1,Ramphocelus bresilius,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Ramphocelus bresilius,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Ramphocelus bresilius,1
Miconia inconspicua,3.6,3,1,0.85,Ramphocelus bresilius,0.5
Miconia latecrenata,1.9,2.3,1,1,Ramphocelus bresilius,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Ramphocelus bresilius,1
Miconia pusilliflora,4.5,4.5,2.7,1.6,Ramphocelus bresilius,0.5
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Ramphocelus bresilius,0.5
Miconia staminea,6.3,6,NA,NA,Ramphocelus bresilius,0.5
Miconia theizans,5,4,0.7,0.4,Ramphocelus bresilius,0.5
Miconia tristis,3.4,3.6,1,1,Ramphocelus bresilius,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Ramphocelus bresilius,0.5
Myrcia laxiflora,8,7.6,NA,NA,Ramphocelus bresilius,0.5
Myrcia pubipetala,13.2,11.6,6.58,0.3,Ramphocelus bresilius,0.5
Myrcia rostrata,6.5,4.5,3,2.5,Ramphocelus bresilius,0.5
Myrsine ferruginea,3,NA,NA,NA,Ramphocelus bresilius,1
Myrsine venosa,4.9,5,NA,4.2,Ramphocelus bresilius,0.5
Schinus terebinthifolius,6,6,3.5,3.5,Ramphocelus bresilius,1
Solanum americanum,6,6.2,1.4,1,Ramphocelus bresilius,0.5
Solanum argenteum,20,11,2.2,2,Ramphocelus bresilius,0.5
Solanum caavurana,15,10,2.5,2,Ramphocelus bresilius,0.5
Solanum megalochiton,7.6,6.3,NA,NA,Ramphocelus bresilius,0.5
Trema micrantha,3.5,2.7,2,1.7,Ramphocelus bresilius,1
Xylopia brasiliensis,26,4.5,5.8,4.1,Ramphocelus bresilius,0.5
Xylopia langsdorfiana,8,6,8.6,6.12,Ramphocelus bresilius,0.5
Aegiphila obducta,14.4,11.6,NA,NA,Saltator maximus,0.5
Aegiphila sellowiana,8,4,4,2,Saltator maximus,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Saltator maximus,0.5
Amaioua guianensis,17,10,4.6,3.5,Saltator maximus,1
Amaioua intermedia,19.38,9.24,4.6,3.61,Saltator maximus,0.5
Cabralea canjerana,28,25,10,9,Saltator maximus,1
Cecropia glaziovii,230,12.62,2,0.62,Saltator maximus,0.5
Cecropia hololeuca,230,20.58,2.9,0.98,Saltator maximus,0.5
Cecropia pachystachya,200,10,2,0.61,Saltator maximus,1
Clusia criuva,13,11,NA,1.8,Saltator maximus,0.5
Clusia lanceolata,40,41,6.5,3.1,Saltator maximus,0.5
Guapira opposita,6.95,6.53,6.1,3.84,Saltator maximus,1
Guarea guidonia,16,12,13,10,Saltator maximus,1
Miconia brasiliensis,2.6,3,NA,1,Saltator maximus,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Saltator maximus,0.5
Miconia chartacea,3.3,4,3.3,3.1,Saltator maximus,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Saltator maximus,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Saltator maximus,1
Miconia inconspicua,3.6,3,1,0.85,Saltator maximus,0.5
Miconia latecrenata,1.9,2.3,1,1,Saltator maximus,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Saltator maximus,1
Miconia pusilliflora,4.5,4.5,2.7,1.6,Saltator maximus,0.5
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Saltator maximus,0.5
Miconia staminea,6.3,6,NA,NA,Saltator maximus,0.5
Miconia theizans,5,4,0.7,0.4,Saltator maximus,0.5
Miconia tristis,3.4,3.6,1,1,Saltator maximus,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Saltator maximus,0.5
Myrcia laxiflora,8,7.6,NA,NA,Saltator maximus,0.5
Myrcia pubipetala,13.2,11.6,6.58,0.3,Saltator maximus,0.5
Myrcia rostrata,6.5,4.5,3,2.5,Saltator maximus,0.5
Myrsine ferruginea,3,NA,NA,NA,Saltator maximus,1
Myrsine venosa,4.9,5,NA,4.2,Saltator maximus,0.5
Pera glabrata,4.2,2.3,4,2.6,Saltator maximus,1
Piper aduncum,166,6,0.84,0.34,Saltator maximus,0.5
Piper arboreum,120,10,NA,NA,Saltator maximus,0.5
Piper gaudichaudianum,100,6,1,0.8,Saltator maximus,0.5
Protium heptaphyllum,17.26,10.76,9.23,7.5,Saltator maximus,1
Schinus terebinthifolius,6,6,3.5,3.5,Saltator maximus,1
Solanum americanum,6,6.2,1.4,1,Saltator maximus,0.5
Solanum argenteum,20,11,2.2,2,Saltator maximus,0.5
Solanum caavurana,15,10,2.5,2,Saltator maximus,0.5
Solanum megalochiton,7.6,6.3,NA,NA,Saltator maximus,0.5
Trema micrantha,3.5,2.7,2,1.7,Saltator maximus,1
Xylopia brasiliensis,26,4.5,5.8,4.1,Saltator maximus,0.5
Xylopia langsdorfiana,8,6,8.6,6.12,Saltator maximus,0.5
Aegiphila obducta,14.4,11.6,NA,NA,Saltator similis,0.5
Aegiphila sellowiana,8,4,4,2,Saltator similis,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Saltator similis,1
Amaioua guianensis,17,10,4.6,3.5,Saltator similis,1
Amaioua intermedia,19.38,9.24,4.6,3.61,Saltator similis,0.5
Cabralea canjerana,28,25,10,9,Saltator similis,1
Casearia aculeata,7.7,7.5,NA,NA,Saltator similis,0.5
Casearia lasiophylla,11.7,11,5.4,4.5,Saltator similis,0.5
Casearia pauciflora,29,28,8,7,Saltator similis,0.5
Casearia sylvestris,3,3,2,1.3,Saltator similis,1
Cecropia glaziovii,230,12.62,2,0.62,Saltator similis,0.5
Cecropia hololeuca,230,20.58,2.9,0.98,Saltator similis,0.5
Cecropia pachystachya,200,10,2,0.61,Saltator similis,1
Copaifera langsdorffii,28.79,21.42,17,11,Saltator similis,1
Copaifera lucens,30.69,21.17,21.6,12.49,Saltator similis,0.5
Copaifera trapezifolia,31,23,18.3,11.53,Saltator similis,0.5
Erythroxylum citrifolium,8,3.7,NA,NA,Saltator similis,0.5
Erythroxylum cuspidifolium,9.4,5.4,NA,NA,Saltator similis,0.5
Erythroxylum pulchrum,15.54,7.18,11.1,6.54,Saltator similis,0.5
Eugenia adenantha,12.6,9,NA,NA,Saltator similis,0.5
Eugenia brasiliensis,9.58,13.05,7.1,4.45,Saltator similis,0.5
Eugenia cerasiflora,16,11,13,8.5,Saltator similis,0.5
Eugenia glazioviana,12,11,10,9.5,Saltator similis,0.5
Eugenia involucrata,22,15,12,7,Saltator similis,0.5
Eugenia itapemirimensis,36.1,26.7,10,8.3,Saltator similis,0.5
Eugenia macrantha,35,34.6,8.91,7.76,Saltator similis,0.5
Eugenia mandiocensis,32.2,22.3,NA,NA,Saltator similis,0.5
Eugenia neoglomerata,20.7,19.13,16.4,14.46,Saltator similis,0.5
Eugenia prasina,18.2,9.7,18.9,9.41,Saltator similis,0.5
Eugenia sprengelli,5,8,4,7,Saltator similis,0.5
Eugenia stictosepala,31,18,26,16,Saltator similis,0.5
Eugenia subavenia,9.9,6.9,NA,NA,Saltator similis,0.5
Eugenia supraaxillaris,18.7,16.4,NA,NA,Saltator similis,0.5
Euterpe edulis,12.8,12.46,11.7,10,Saltator similis,1
Ficus catappifolia,32,23,1,0.5,Saltator similis,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Saltator similis,0.5
Ficus cyclophylla,14,12,1.4,1.2,Saltator similis,0.5
Ficus enormis,14,14,1.2,1,Saltator similis,0.5
Ficus glabra,16.6,18,1,0.5,Saltator similis,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Saltator similis,0.5
Ficus hirsuta,7,6,0.5,0.3,Saltator similis,0.5
Ficus insipida,17,20,2.8,1.7,Saltator similis,0.5
Ficus microcarpa,10,8,0.9,0.7,Saltator similis,0.5
Ficus organensis,8,7,0.7,0.7,Saltator similis,1
Ficus pertusa,8,8,1.1,1.1,Saltator similis,0.5
Ficus pulchella,17.93,18,0.8,0.7,Saltator similis,0.5
Ilex paraguariensis,4.8,4.7,4.8,2.6,Saltator similis,1
Ixora gardneriana,8,6,5,4,Saltator similis,0.5
Leandra acutiflora,6.4,5.5,NA,NA,Saltator similis,0.5
Leandra dasytricha,5.1,NA,NA,NA,Saltator similis,0.5
Leandra melastomoides,9.3,7.5,NA,1,Saltator similis,0.5
Leandra variabilis,4.2,3.2,NA,1,Saltator similis,1
Matayba guianensis,13.3,16.04,11.1,8.26,Saltator similis,1
Miconia brasiliensis,2.6,3,NA,1,Saltator similis,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Saltator similis,0.5
Miconia chartacea,3.3,4,3.3,3.1,Saltator similis,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Saltator similis,1
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Saltator similis,1
Miconia inconspicua,3.6,3,1,0.85,Saltator similis,0.5
Miconia latecrenata,1.9,2.3,1,1,Saltator similis,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Saltator similis,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Saltator similis,1
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Saltator similis,0.5
Miconia staminea,6.3,6,NA,NA,Saltator similis,0.5
Miconia theizans,5,4,0.7,0.4,Saltator similis,1
Miconia tristis,3.4,3.6,1,1,Saltator similis,1
Miconia valtherii,4.4,3.9,1.1,0.9,Saltator similis,0.5
Myrcia laxiflora,8,7.6,NA,NA,Saltator similis,0.5
Myrcia pubipetala,13.2,11.6,6.58,0.3,Saltator similis,0.5
Myrcia rostrata,6.5,4.5,3,2.5,Saltator similis,0.5
Myrsine ferruginea,3,NA,NA,NA,Saltator similis,0.5
Myrsine venosa,4.9,5,NA,4.2,Saltator similis,0.5
Nectandra leucantha,27,15,25,14,Saltator similis,0.5
Nectandra membranacea,10,15,8,10,Saltator similis,0.5
Nectandra oppositifolia,15,11,14,10,Saltator similis,0.5
Nectandra puberula,12.4,13,11,10.5,Saltator similis,0.5
Nectandra reticulata,15,9,14,8,Saltator similis,0.5
Ossaea angustifolia,5.2,4.2,NA,NA,Saltator similis,0.5
Ossaea marginata,4.9,4.4,NA,NA,Saltator similis,0.5
Paullinea carpopoda,9,7,8.3,6.6,Saltator similis,1
Pera glabrata,4.2,2.3,4,2.6,Saltator similis,1
Pereskia aculeata,20,18,4.8,4.5,Saltator similis,1
Phoradendron crassifolium,3,2,1.7,1.1,Saltator similis,1
Piper aduncum,166,6,0.84,0.34,Saltator similis,0.5
Piper arboreum,120,10,NA,NA,Saltator similis,0.5
Piper gaudichaudianum,100,6,1,0.8,Saltator similis,0.5
Protium heptaphyllum,17.26,10.76,9.23,7.5,Saltator similis,1
Rudgea macrophylla,8.5,13.5,NA,NA,Saltator similis,0.5
Schinus terebinthifolius,6,6,3.5,3.5,Saltator similis,1
Sloanea guianensis,20,20,10,6,Saltator similis,0.5
Sloanea monosperma,12,10,7,4,Saltator similis,0.5
Solanum americanum,6,6.2,1.4,1,Saltator similis,0.5
Solanum argenteum,20,11,2.2,2,Saltator similis,1
Solanum caavurana,15,10,2.5,2,Saltator similis,0.5
Solanum megalochiton,7.6,6.3,NA,NA,Saltator similis,0.5
Symplocos variabilis,5.2,3.87,NA,NA,Saltator similis,0.5
Trema micrantha,3.5,2.7,2,1.7,Saltator similis,1
Trichilia elegans,14.6,6.5,7.6,6.9,Saltator similis,1
Trichilia lepidota,18,13,6,3.5,Saltator similis,0.5
Trichilia pseudostipularis,15.35,6.3,10.3,5.7,Saltator similis,0.5
Trichilia silvatica,8.4,5.1,7,3,Saltator similis,0.5
Xylopia brasiliensis,26,4.5,5.8,4.1,Saltator similis,0.5
Xylopia langsdorfiana,8,6,8.6,6.12,Saltator similis,0.5
Annona cacans,65.67,115,12.9,7,Sapajus nigritus,0.5
Anthurium scandens,6,6,2,1,Sapajus nigritus,0.5
Artocarpus heterophyllus,600,325,32.5,23.5,Sapajus nigritus,1
Artocarpus integrifolia,360,270,29,22,Sapajus nigritus,0.5
Campomanesia guaviroba,27,27,8.5,8.6,Sapajus nigritus,0.5
Cecropia glaziovii,230,12.62,2,0.62,Sapajus nigritus,1
Cecropia hololeuca,230,20.58,2.9,0.98,Sapajus nigritus,0.75
Cecropia pachystachya,200,10,2,0.61,Sapajus nigritus,1
Chrysophyllum cainito,4.66,4.56,NA,NA,Sapajus nigritus,0.5
Chrysophyllum flexuosum,28,10,19,7,Sapajus nigritus,0.5
Chrysophyllum gonocarpum,25.67,24.67,15.7,9.92,Sapajus nigritus,0.5
Chrysophyllum januariense,54,NA,29.5,18.5,Sapajus nigritus,0.5
Clusia criuva,13,11,NA,1.8,Sapajus nigritus,0.75
Clusia lanceolata,40,41,6.5,3.1,Sapajus nigritus,0.5
Coffea arabica,11,8,10,5,Sapajus nigritus,0.75
Cordia corymbosa,4,3.4,NA,NA,Sapajus nigritus,0.5
Cordia magnoliifolia,9,10,7.5,5.5,Sapajus nigritus,0.5
Cordia superba,20,22,15,10,Sapajus nigritus,0.5
Cordia trichoclada,20,18,13,9,Sapajus nigritus,0.5
Cryptocarya moschata,13,14,11.5,8,Sapajus nigritus,0.5
Cryptocarya saligna,63.36,24,45.6,24.18,Sapajus nigritus,0.5
Ficus catappifolia,32,23,1,0.5,Sapajus nigritus,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Sapajus nigritus,0.5
Ficus cyclophylla,14,12,1.4,1.2,Sapajus nigritus,0.5
Ficus enormis,14,14,1.2,1,Sapajus nigritus,1
Ficus glabra,16.6,18,1,0.5,Sapajus nigritus,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Sapajus nigritus,1
Ficus hirsuta,7,6,0.5,0.3,Sapajus nigritus,0.5
Ficus insipida,17,20,2.8,1.7,Sapajus nigritus,1
Ficus microcarpa,10,8,0.9,0.7,Sapajus nigritus,0.5
Ficus organensis,8,7,0.7,0.7,Sapajus nigritus,0.5
Ficus pertusa,8,8,1.1,1.1,Sapajus nigritus,0.5
Ficus pulchella,17.93,18,0.8,0.7,Sapajus nigritus,0.5
Heisteria silvianii,12,10,15,8.4,Sapajus nigritus,0.75
Hymenaea courbaril,120,60,22,8,Sapajus nigritus,0.75
Inga capitata,70,20,13.6,7.3,Sapajus nigritus,0.5
Inga marginata,110,15,11,9,Sapajus nigritus,0.75
Inga sessilis,150,45,15,8,Sapajus nigritus,0.75
Inga striata,96,34,16.8,3.18,Sapajus nigritus,0.5
Maclura tinctoria,14.2,12.6,2.5,2.1,Sapajus nigritus,1
Marlierea cf.excoriata,9.76,2,9.7,9.85,Sapajus nigritus,0.5
Marlierea clausseniana,9.1,8.3,NA,NA,Sapajus nigritus,0.5
Marlierea edulis,35,37,23,17,Sapajus nigritus,0.5
Marlierea obscura,11,14,9,7,Sapajus nigritus,0.5
Matayba guianensis,13.3,16.04,11.1,8.26,Sapajus nigritus,0.75
Mendoncia velloziana,17,14,14,7,Sapajus nigritus,1
Miconia brasiliensis,2.6,3,NA,1,Sapajus nigritus,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Sapajus nigritus,0.5
Miconia chartacea,3.3,4,3.3,3.1,Sapajus nigritus,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Sapajus nigritus,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Sapajus nigritus,1
Miconia inconspicua,3.6,3,1,0.85,Sapajus nigritus,0.5
Miconia latecrenata,1.9,2.3,1,1,Sapajus nigritus,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Sapajus nigritus,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Sapajus nigritus,1
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Sapajus nigritus,0.5
Miconia staminea,6.3,6,NA,NA,Sapajus nigritus,0.5
Miconia theizans,5,4,0.7,0.4,Sapajus nigritus,0.5
Miconia tristis,3.4,3.6,1,1,Sapajus nigritus,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Sapajus nigritus,0.5
Monstera adansonii,11,8,8.5,7.25,Sapajus nigritus,1
Musa paradisiaca,120,30,NA,4,Sapajus nigritus,0.5
Myrcia laxiflora,8,7.6,NA,NA,Sapajus nigritus,0.5
Myrcia pubipetala,13.2,11.6,6.58,0.3,Sapajus nigritus,0.75
Myrcia rostrata,6.5,4.5,3,2.5,Sapajus nigritus,0.5
Nectandra leucantha,27,15,25,14,Sapajus nigritus,0.5
Nectandra membranacea,10,15,8,10,Sapajus nigritus,0.75
Nectandra oppositifolia,15,11,14,10,Sapajus nigritus,0.5
Nectandra puberula,12.4,13,11,10.5,Sapajus nigritus,0.5
Nectandra reticulata,15,9,14,8,Sapajus nigritus,0.5
Paullinea carpopoda,9,7,8.3,6.6,Sapajus nigritus,0.5
Pereskia aculeata,20,18,4.8,4.5,Sapajus nigritus,1
Piper aduncum,166,6,0.84,0.34,Sapajus nigritus,0.75
Piper arboreum,120,10,NA,NA,Sapajus nigritus,0.5
Piper gaudichaudianum,100,6,1,0.8,Sapajus nigritus,0.5
Posoqueria acutifolia,55,50,20,11.6,Sapajus nigritus,0.5
Posoqueria latifolia,38.4,33,9.9,12,Sapajus nigritus,1
Psidium cattleyanum,32.4,31,4,2.5,Sapajus nigritus,0.5
Psidium guajava,59.4,57,4.7,3.5,Sapajus nigritus,1
Psychotria carthagenensis,5.2,5.5,5,4.3,Sapajus nigritus,0.5
Psychotria deflexa,5.09,4.02,3,2.4,Sapajus nigritus,0.5
Psychotria leiocarpa,8,9,3,2.4,Sapajus nigritus,0.5
Psychotria myriantha,5.4,6.2,4,3,Sapajus nigritus,0.5
Psychotria nuda,8.7,7,NA,NA,Sapajus nigritus,0.5
Psychotria suterella,11,13,4,3,Sapajus nigritus,1
Psychotria vellosiana,0.4,3.7,NA,NA,Sapajus nigritus,0.5
Rhipsalis baccifera,5.84,5.79,1.09,0.58,Sapajus nigritus,0.5
Rhipsalis floccosa,6,5,1.2,0.6,Sapajus nigritus,0.5
Rhipsalis pachyptera,7.62,8.36,1.05,0.52,Sapajus nigritus,0.5
Rhipsalis puniceodiscus,5.94,7.05,1.47,0.71,Sapajus nigritus,0.5
Rhipsalis teres,4.51,4.49,1.02,0.56,Sapajus nigritus,0.75
Siparuna reginae,11,7,3,1.49,Sapajus nigritus,0.5
Solanum americanum,6,6.2,1.4,1,Sapajus nigritus,0.5
Solanum argenteum,20,11,2.2,2,Sapajus nigritus,0.75
Solanum caavurana,15,10,2.5,2,Sapajus nigritus,0.5
Solanum megalochiton,7.6,6.3,NA,NA,Sapajus nigritus,0.5
Urera baccifera,5,4.3,2,2,Sapajus nigritus,0.75
Urera caracasana,4.7,3.5,NA,NA,Sapajus nigritus,0.5
Urera mitis,3.5,2.5,1,0.8,Sapajus nigritus,0.5
Virola bicuhyba,36.8,21,24,16,Sapajus nigritus,0.75
Virola gardneri,34.85,23.34,26,20,Sapajus nigritus,0.5
Virola oleifera,35,23,22,12,Sapajus nigritus,0.5
Cabralea canjerana,28,25,10,9,Schiffornis virescens,1
Casearia aculeata,7.7,7.5,NA,NA,Schiffornis virescens,0.5
Casearia lasiophylla,11.7,11,5.4,4.5,Schiffornis virescens,0.5
Casearia pauciflora,29,28,8,7,Schiffornis virescens,0.5
Casearia sylvestris,3,3,2,1.3,Schiffornis virescens,0.5
Clusia criuva,13,11,NA,1.8,Schiffornis virescens,1
Clusia lanceolata,40,41,6.5,3.1,Schiffornis virescens,0.5
Copaifera langsdorffii,28.79,21.42,17,11,Schiffornis virescens,1
Copaifera lucens,30.69,21.17,21.6,12.49,Schiffornis virescens,0.5
Copaifera trapezifolia,31,23,18.3,11.53,Schiffornis virescens,0.5
Leandra acutiflora,6.4,5.5,NA,NA,Schiffornis virescens,0.75
Leandra dasytricha,5.1,NA,NA,NA,Schiffornis virescens,0.5
Leandra melastomoides,9.3,7.5,NA,1,Schiffornis virescens,0.5
Leandra variabilis,4.2,3.2,NA,1,Schiffornis virescens,1
Miconia brasiliensis,2.6,3,NA,1,Schiffornis virescens,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Schiffornis virescens,0.5
Miconia chartacea,3.3,4,3.3,3.1,Schiffornis virescens,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Schiffornis virescens,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Schiffornis virescens,0.5
Miconia inconspicua,3.6,3,1,0.85,Schiffornis virescens,0.5
Miconia latecrenata,1.9,2.3,1,1,Schiffornis virescens,1
Miconia prasina,3.2,3.4,0.6,0.61,Schiffornis virescens,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Schiffornis virescens,0.75
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Schiffornis virescens,0.5
Miconia staminea,6.3,6,NA,NA,Schiffornis virescens,0.5
Miconia theizans,5,4,0.7,0.4,Schiffornis virescens,0.5
Miconia tristis,3.4,3.6,1,1,Schiffornis virescens,1
Miconia valtherii,4.4,3.9,1.1,0.9,Schiffornis virescens,1
Myrcia laxiflora,8,7.6,NA,NA,Schiffornis virescens,0.5
Myrcia pubipetala,13.2,11.6,6.58,0.3,Schiffornis virescens,0.5
Myrcia rostrata,6.5,4.5,3,2.5,Schiffornis virescens,0.5
Ossaea angustifolia,5.2,4.2,NA,NA,Schiffornis virescens,0.5
Ossaea marginata,4.9,4.4,NA,NA,Schiffornis virescens,0.5
Psychotria carthagenensis,5.2,5.5,5,4.3,Schiffornis virescens,0.5
Psychotria deflexa,5.09,4.02,3,2.4,Schiffornis virescens,0.5
Psychotria leiocarpa,8,9,3,2.4,Schiffornis virescens,0.5
Psychotria myriantha,5.4,6.2,4,3,Schiffornis virescens,0.5
Psychotria nuda,8.7,7,NA,NA,Schiffornis virescens,0.5
Psychotria suterella,11,13,4,3,Schiffornis virescens,1
Psychotria vellosiana,0.4,3.7,NA,NA,Schiffornis virescens,1
Rubus rosifolius,15,12.6,1.5,1,Schiffornis virescens,1
Rubus urticifolius,10,8,2.2,1.4,Schiffornis virescens,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Schistochlamys ruficapillus,0.5
Anthurium scandens,6,6,2,1,Schistochlamys ruficapillus,0.5
